achievement,engagement,completion,feedback,label
71,34,91,3.4,1
94,94,43,3.6,1
72,21,49,1.8,0
83,79,40,3.5,1
77,41,68,3.1,0
61,79,99,1.9,1
81,66,81,1.8,1
74,83,22,4.4,1
26,40,92,1.3,0
23,79,33,4.2,0
28,72,21,3.7,0
79,90,63,3.0,1
66,54,97,2.6,1
69,23,21,2.7,0
73,23,73,1.1,0
37,63,53,2.6,0
33,67,34,1.4,0
81,59,99,4.0,1
72,43,45,4.9,1
79,60,48,4.2,1
84,90,28,4.1,1
27,82,30,1.8,0
27,54,54,4.1,0
24,60,47,4.5,0
91,31,53,1.4,0
42,81,56,3.9,0
54,84,66,3.9,1
20,24,33,3.0,0
28,98,34,1.4,0
96,70,82,4.6,1
71,23,42,3.4,0
34,62,48,1.9,0
51,90,78,3.8,1
47,85,61,4.2,1
76,25,47,4.2,0
63,49,81,3.2,0
81,20,46,2.7,0
96,22,89,3.0,1
28,81,56,3.8,0
63,43,98,1.7,0
51,71,81,4.9,1
71,31,58,3.0,0
75,100,78,3.4,1
21,73,20,2.0,0
21,72,63,2.8,0
89,51,87,1.3,0
75,36,57,2.5,0
89,30,35,4.3,0
78,89,99,1.2,1
39,78,55,1.1,0
86,38,39,3.6,0
71,52,59,2.5,0
20,30,76,1.5,0
42,50,61,2.0,0
35,79,21,5.0,0
31,88,56,4.5,1
28,38,67,4.4,0
39,43,73,4.1,0
43,94,91,4.1,1
44,37,85,3.8,0
99,80,60,1.7,1
87,52,33,2.3,0
39,27,26,3.9,0
52,67,95,3.0,1
41,49,57,4.9,0
70,73,27,3.5,0
40,49,47,3.7,0
88,80,67,2.1,1
54,83,68,1.2,0
63,49,65,4.7,1
56,43,65,4.9,1
79,82,51,4.4,1
86,37,44,2.6,0
73,77,86,3.3,1
43,51,66,5.0,0
85,46,21,2.3,0
52,28,62,3.8,0
58,61,45,4.2,0
44,43,32,1.3,0
26,76,55,4.2,0
84,27,35,1.2,0
34,85,51,3.3,0
70,44,77,3.2,0
